Name,Address,Location,Postcode,Website,Website,googleCheck
h,t,t,p,s,:,/,/,b,h,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,p,c,-,h,e,l,p,-,c,e,n,t,r,e,-,l,i,m,i,t,e,d
P C Help Centre Ltd,Shop 4 Brittany Court,Dunstable,LU63HR,http://www.pchelpcentre.com,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,t,o,d,a,y
Complete I.T Solutions,39 Longlands,Hemel Hempstead,HP24DD,,N

Blue Box Computer Services,35 Hartford Drive,Watford,WD173DQ,http://www.blueboxcomputer.com,T
h,t,t,p,s,:,/,/,s,g,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,a,x,i,a,u,k
Axia,111 St Albans Road,Watford,WD171UH,http://www.axia.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,k,c,s,-,-,-,k,o,m,p,u,t,e,r,-,c,o,n,s,u,l,t,a,n,c,y,-,s,e,r,v,i,c,e,s,-,l,i,m,i,t,e,d
KCS (Komputer Consultancy Services Ltd),"14, Chess Business Park",Chesham,HP51SD,http://www.kcsltd.co.uk/,T
h,t,t,p,s,:,/,/,h,k,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,d,i,g,i,t,a,l,-,s,e,r,v,i,c,e,s,-,l,i,m,i,t,e,d
Digital Services Ltd,56 Western Road,Tring,HP234BB,http://www.digitalservices.co.uk,T

Dotdotdot Computer Services,2nd Floor Tring House,Tring,HP234AB,http://www.dotdotdot.co.uk,F
h,t,t,p,s,:,/,/,e,c,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,a,c,t,o,p,i,a
Actopia Communications Ltd,15 Prebendal Court,Aylesbury,HP198EY,http://www.actopia.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,t,o,d,a,y
The It Foundry,Verna House,Aylesbury,HP199AG,,N
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,a,l,c,o,m,i,t
Alcom,Unit F Merlin Centre,Aylesbury,HP198DP,http://www.alcom-it.co.uk,F
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,a,l,c,o,m,i,t
Alcom Computing,Unit F Merlin Centre,Aylesbury,HP198DP,http://www.alcom-it.co.uk,F
h,t,t,p,s,:,/,/,p,e,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,c,o,m,v,e,r,g,e,d
Comverged Ltd,Barclays House,Aylesbury,HP198DB,http://www.comverged.net,T

G W C S,6 Chaffinch,Aylesbury,HP190GQ,http://www.gwcs.co.uk,F

Sinorrah I.T Solutions,3 Forge House,Princes Risborough,HP279DT,http://www.sinorrah.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,e,a,c,-,n,e,t,w,o,r,k,-,s,o,l,u,t,i,o,n,s
E A C Network Solutions,1 Cornwall House Station Approach,Princes Risborough,HP279DN,http://www.eac-ns.co.uk,F
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,v,a,n,t,a,g,e,-,i,t,-,s,o,l,u,t,i,o,n,s,-,l,i,m,i,t,e,d
Vantage I.T Solutions Ltd,Unit 2 Airfield Park,Tring,HP234QR,http://www.vantageit.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,q,d,o,s,-,i,t,-,l,i,m,i,t,e,d
Qdos It,Block C Brunel Gate,Aylesbury,HP198AR,http://www.qdosit.com,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,t,i,g,e,r,n,e,t,-,s,o,l,u,t,i,o,n,s,-,l,t,d
Tiger Net Solutions,The Cow Shed,Thame,OX93RP,http://www.tigernet.co.uk,T
h,t,t,p,s,:,/,/,u,k,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,t,r,i,u,m,p,h,-,t,e,c,h,n,o,l,o,g,i,e,s,-,l,t,d,?,t,r,k,=,p,u,b,l,i,c,_,p,r,o,f,i,l,e,_,t,o,p,c,a,r,d,_,c,u,r,r,e,n,t,_,c,o,m,p,a,n,y
Triumph Technologies,Network House,Thame,OX93UH,http://www.triumphtech.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,t,o,d,a,y
Collaborative I T,3 Pump Lane,Thame,OX93BT,,N
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,t,u,r,n,c,l,o,u,d,-,l,i,m,i,t,e,d
Turncloud,Room 4-5 Crendon House,Aylesbury,HP189BB,http://www.turncloud.co.uk,T

A B C Cloud,Unit 7 Lawn Farm Business Centre,Aylesbury,HP180QX,http://www.abccloud.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,a,n,d,r,e,w,s,-,c,o,m,p,u,t,e,r,-,s,e,r,v,i,c,e,s,-,l,i,m,i,t,e,d
Andrews Computer Services,The Maylands Building,Hemel Hempstead,HP27TG,http://www.andrews-computers.com,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,t,o,d,a,y
Intranet Technologies Ltd,10 Blacksmith Lane,Great Missenden,HP160NW,,N

M W Home Computing,Braysdene,Amersham,HP65RJ,http://www.mwhomecomputing.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,t,o,d,a,y
,,,,,N
h,t,t,p,s,:,/,/,b,h,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,p,c,-,h,e,l,p,-,c,e,n,t,r,e,-,l,i,m,i,t,e,d
P C Help Centre Ltd,Shop 4 Brittany Court,Dunstable,LU63HR,http://www.pchelpcentre.com,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,t,o,d,a,y
Complete I.T Solutions,39 Longlands,Hemel Hempstead,HP24DD,,N

Blue Box Computer Services,35 Hartford Drive,Watford,WD173DQ,http://www.blueboxcomputer.com,T
h,t,t,p,s,:,/,/,s,g,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,a,x,i,a,u,k
Axia,111 St Albans Road,Watford,WD171UH,http://www.axia.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,k,c,s,-,-,-,k,o,m,p,u,t,e,r,-,c,o,n,s,u,l,t,a,n,c,y,-,s,e,r,v,i,c,e,s,-,l,i,m,i,t,e,d
KCS (Komputer Consultancy Services Ltd),"14, Chess Business Park",Chesham,HP51SD,http://www.kcsltd.co.uk/,T
h,t,t,p,s,:,/,/,h,k,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,d,i,g,i,t,a,l,-,s,e,r,v,i,c,e,s,-,l,i,m,i,t,e,d
Digital Services Ltd,56 Western Road,Tring,HP234BB,http://www.digitalservices.co.uk,T

Dotdotdot Computer Services,2nd Floor Tring House,Tring,HP234AB,http://www.dotdotdot.co.uk,F
h,t,t,p,s,:,/,/,e,c,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,a,c,t,o,p,i,a
Actopia Communications Ltd,15 Prebendal Court,Aylesbury,HP198EY,http://www.actopia.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,t,o,d,a,y
The It Foundry,Verna House,Aylesbury,HP199AG,,N
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,a,l,c,o,m,i,t
Alcom,Unit F Merlin Centre,Aylesbury,HP198DP,http://www.alcom-it.co.uk,F
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,a,l,c,o,m,i,t
Alcom Computing,Unit F Merlin Centre,Aylesbury,HP198DP,http://www.alcom-it.co.uk,F
h,t,t,p,s,:,/,/,p,e,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,c,o,m,v,e,r,g,e,d
Comverged Ltd,Barclays House,Aylesbury,HP198DB,http://www.comverged.net,T

G W C S,6 Chaffinch,Aylesbury,HP190GQ,http://www.gwcs.co.uk,F

Sinorrah I.T Solutions,3 Forge House,Princes Risborough,HP279DT,http://www.sinorrah.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,e,a,c,-,n,e,t,w,o,r,k,-,s,o,l,u,t,i,o,n,s
E A C Network Solutions,1 Cornwall House Station Approach,Princes Risborough,HP279DN,http://www.eac-ns.co.uk,F
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,v,a,n,t,a,g,e,-,i,t,-,s,o,l,u,t,i,o,n,s,-,l,i,m,i,t,e,d
Vantage I.T Solutions Ltd,Unit 2 Airfield Park,Tring,HP234QR,http://www.vantageit.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,q,d,o,s,-,i,t,-,l,i,m,i,t,e,d
Qdos It,Block C Brunel Gate,Aylesbury,HP198AR,http://www.qdosit.com,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,t,i,g,e,r,n,e,t,-,s,o,l,u,t,i,o,n,s,-,l,t,d
Tiger Net Solutions,The Cow Shed,Thame,OX93RP,http://www.tigernet.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,t,r,i,u,m,p,h,-,t,e,c,h,n,o,l,o,g,i,e,s,-,l,t,d
Triumph Technologies,Network House,Thame,OX93UH,http://www.triumphtech.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,t,o,d,a,y
Collaborative I T,3 Pump Lane,Thame,OX93BT,,N
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,t,u,r,n,c,l,o,u,d,-,l,i,m,i,t,e,d
Turncloud,Room 4-5 Crendon House,Aylesbury,HP189BB,http://www.turncloud.co.uk,T

A B C Cloud,Unit 7 Lawn Farm Business Centre,Aylesbury,HP180QX,http://www.abccloud.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,a,n,d,r,e,w,s,-,c,o,m,p,u,t,e,r,-,s,e,r,v,i,c,e,s,-,l,i,m,i,t,e,d
Andrews Computer Services,The Maylands Building,Hemel Hempstead,HP27TG,http://www.andrews-computers.com,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,t,o,d,a,y
Intranet Technologies Ltd,10 Blacksmith Lane,Great Missenden,HP160NW,,N

M W Home Computing,Braysdene,Amersham,HP65RJ,http://www.mwhomecomputing.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,d,x,-,&,-,r,x,-,s,o,l,u,t,i,o,n,s,-,f,o,r,-,s,u,r,g,i,c,a,l,-,s,a,f,e,t,y
,,,,,N
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,t,o,d,a,y
D J N Solutions,64 Marsworth Road,Leighton Buzzard,LU79AS,,N
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,c,l,o,u,d,-,s,m,a,r,t,-,s,o,l,u,t,i,o,n,s,-,l,t,d
Cloud Smart Solutions,Pattison House,Chesham,HP52BD,http://www.cloudss.co.uk,T
h,t,t,p,s,:,/,/,s,g,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,l,i,i,t,u,k
Liit,Peacock House,Berkhamsted,HP41EF,http://www.liituk.com,T

Technosys Ltd,6 Mead Business Centre,Chesham,HP53EE,http://www.technosysuk.com,T

Chilcomp,16 Station Road,Chesham,HP51DH,http://www.chilcomp.co.uk,F

Performance Computing,Ailort,High Wycombe,HP144NX,http://www.itran.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,t,o,d,a,y
J B A 999 I T Rescue Security,Glenside,High Wycombe,HP156JR,,N
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,c,o,n,n,e,c,t,-,s,y,s,t,e,m,s,-,l,l,p
Connect Systems,The Island,Chesham,HP51NZ,http://www.connectsys.co.uk,T

On I.T Services Ltd,Unit 6 Chess Business Park,Chesham,HP51SD,http://www.onit.co.uk,T
h,t,t,p,s,:,/,/,w,w,w,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,o,r,-,t,o,d,a,y
Data Network Solutions,Suite 2,Berkhamsted,HP42DJ,,N

Itcetra,Highways Farm,Chesham,HP53QY,http://www.itcetra.co.uk,T

Centrastore,Highways Farm,Chesham,HP53QY,http://www.centrastore.com,F

Tekbox I T Ltd,7 Penn Road,High Wycombe,HP157LN,,N

I.T Support Care,8 Principle House,High Wycombe,HP135FY,http://www.itsupportadit.co.uk,F

Computer Associated Decisions,2 Bellfield Parade,High Wycombe,HP135SX,http://www.cad2000.co.uk,T

S D Colour Services,155 Abercromby Avenue,High Wycombe,HP123BN,http://www.sdcolourservices.co.uk,T

Advanced P C Solutions,85 Green Street,High Wycombe,HP112RF,http://www.advancedpcsolutions.co.uk,T

Jo Heard,47 The Ridgeway,Amersham,HP79HJ,http://www.joheard.co.uk,F
h,t,t,p,s,:,/,/,h,k,.,l,i,n,k,e,d,i,n,.,c,o,m,/,c,o,m,p,a,n,y,/,j,s,l,-,c,o,m,p,u,t,e,r,s
